13092,Dining and Drinking , Restaurant , Latin American Restaurant , South American Restaurant , Brazilian Restaurant , Tapiocaria
13093,Dining and Drinking , Restaurant , Eastern European Restaurant , Bulgarian Restaurant,,
13094,Dining and Drinking , Restaurant , Asian Restaurant , Burmese Restaurant,,
13095,Dining and Drinking , Restaurant , Cajun and Creole Restaurant,,,
13096,Dining and Drinking , Restaurant , Asian Restaurant , Cambodian Restaurant,,
13097,Dining and Drinking , Restaurant , Caribbean Restaurant,,,
13098,Dining and Drinking , Restaurant , Caucasian Restaurant,,,
13099,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant,,
13100,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Anhui Restaurant,
13101,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Beijing Restaurant,
13102,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Cantonese Restaurant,
13103,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Cha Chaan Teng,
13104,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Chinese Aristocrat Restaurant,
13105,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Chinese Breakfast Restaurant,
13106,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Dim Sum Restaurant,
13107,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Dongbei Restaurant,
13108,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Fujian Restaurant,
13109,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Guizhou Restaurant,
13110,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Hainan Restaurant,
13111,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Hakka Restaurant,
13112,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Henan Restaurant,
13113,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Hong Kong Restaurant,
13114,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Huaiyang Restaurant,
13115,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Hubei Restaurant,
13116,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Hunan Restaurant,
13117,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Imperial Restaurant,
13118,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Jiangsu Restaurant,
13119,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Jiangxi Restaurant,
13120,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Macanese Restaurant,
13121,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Manchu Restaurant,
13122,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Peking Duck Restaurant,
13123,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Shaanxi Restaurant,
13124,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Shandong Restaurant,
13125,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Shanghai Restaurant,
13126,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Shanxi Restaurant,
13127,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Szechuan Restaurant,
13128,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Taiwanese Restaurant,
13129,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Tianjin Restaurant,
13130,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Xinjiang Restaurant,
13131,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Yunnan Restaurant,
